Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate	Season
ATL	2440	4594	4608	4783	4685	104.114	101.671	2.44305	761	765	1678	1697	0.309601	0.68686	2011
BOS	2894.6667	5445	5443	5465	5382	100.367	98.8793	1.48801	722	1038	2003	1990	0.266224	0.658665	2011
CHA	2698	5114	5101	4836	5656	94.5639	110.88	-16.3163	909	933	1749	1998	0.312694	0.652125	2011
CHI	2991	5578	5586	5955	5449	106.759	97.5474	9.21126	1202	994	2207	1915	0.385627	0.689472	2011
CLE	2852	5429	5445	5492	5910	101.16	108.54	-7.37951	1126	977	1888	2034	0.356329	0.658988	2011
DAL	3069	5846	5859	6036	5972	103.25	101.929	1.32143	904	995	2199	2223	0.289095	0.688478	2011
DEN	3112	6109	6125	6647	6446	108.807	105.241	3.56586	1123	988	2202	2055	0.353367	0.690282	2011
DET	2761	5171	5163	5151	5456	99.6132	105.675	-6.06177	965	901	1741	1867	0.340749	0.65897	2011
GSW	2991	5777	5780	6048	6247	104.691	108.08	-3.38857	848	1177	1971	2164	0.281541	0.626112	2011
HOU	3069	5904	5906	6170	6148	104.505	104.098	0.407892	1029	1040	2082	2116	0.327186	0.66688	2011
IND	3101.6667	5882	5876	6236	6032	106.018	102.655	3.36349	1154	1150	2151	2089	0.355843	0.651621	2011
LAC	3193	5940	5922	6438	6269	108.384	105.86	2.52433	1232	1091	2103	2129	0.366558	0.658422	2011
LAL	3021	5712	5713	6033	5929	105.62	103.781	1.8389	1070	987	2272	1958	0.353369	0.697146	2011
MEM	3188	6051	6058	6269	6136	103.603	101.288	2.31516	1179	1055	2096	2117	0.357706	0.665186	2011
MIA	2968	5657	5660	6034	5680	106.664	100.353	6.31095	942	1030	2045	1920	0.32914	0.665041	2011
MIL	2837	5576	5565	5809	5834	104.179	104.834	-0.65516	1009	1034	1905	2050	0.329846	0.64818	2011
MIN	3140	6129	6142	6356	6504	103.704	105.894	-2.19014	1132	1080	2225	2225	0.337206	0.673222	2011
NJN	1344	2507	2509	2564	2749	102.274	109.566	-7.29193	453	492	888	921	0.329694	0.643478	2011
NOH	2996	5541	5539	5572	5792	100.559	104.568	-4.00815	964	983	2005	1934	0.332643	0.671017	2011
NYK	2900	5637	5645	5858	5728	103.921	101.47	2.4502	1023	994	1979	2009	0.337401	0.665658	2011
OKC	3054	5959	5961	6516	6154	109.347	103.238	6.10949	971	1144	2225	1964	0.330835	0.660433	2011
ORL	2664.7833	4954	4952	5155	5136	104.057	103.716	0.341657	954	807	1860	1831	0.342549	0.697413	2011
PHI	2842	5316	5326	5527	5277	103.969	99.08	4.88916	903	937	2029	2071	0.303631	0.684086	2011
PHX	3024	5833	5841	6205	6210	106.378	106.317	0.0600958	983	1048	2094	2094	0.319467	0.666454	2011
POR	2761	5252	5225	5535	5480	105.388	104.88	0.508041	871	934	1829	1915	0.312635	0.661962	2011
SAC	3039	6008	6006	6206	6577	103.296	109.507	-6.21155	1175	1083	1996	2226	0.345487	0.648262	2011
SAS	2851.7833	5522	5522	6123	5699	110.884	103.205	7.67838	883	863	2066	1949	0.311794	0.70536	2011
TOR	2084	3883	3884	3910	3990	100.695	102.729	-2.03381	647	734	1454	1413	0.314078	0.664534	2011
UTA	2925	5589	5584	5896	5927	105.493	106.143	-0.649618	1115	954	1992	1921	0.36726	0.676171	2011
WAS	2645	5133	5102	5130	5501	99.9416	107.82	-7.87891	935	976	1749	1888	0.331208	0.641835	2011
ATL	3946	7353	7355	7790	7857	105.943	106.825	-0.882137	1129	1208	2650	2656	0.298283	0.686884	2010
BOS	3956	7438	7434	7913	7473	106.386	100.525	5.86151	1024	1283	2737	2537	0.28756	0.680846	2010
CHA	3961	7392	7393	7650	7978	103.49	107.913	-4.42263	1283	1224	2647	2623	0.328469	0.683803	2010
CHI	3966	7471	7482	8087	7487	108.245	100.067	8.17839	1453	1251	2830	2538	0.364069	0.693457	2010
CLE	3951	7660	7675	7827	8566	102.18	111.609	-9.42896	1330	1296	2664	2889	0.315241	0.672727	2010
DAL	3941	7521	7515	8220	7873	109.294	104.764	4.53017	1126	1261	2784	2607	0.301634	0.688257	2010
DEN	3941	7843	7839	8811	8421	112.342	107.424	4.9178	1271	1282	2862	2692	0.320717	0.690637	2010
DET	3976	7374	7387	7951	8246	107.825	111.629	-3.80375	1391	1260	2404	2629	0.34602	0.656114	2010
GSW	3966	7861	7853	8477	8668	107.836	110.378	-2.54205	1317	1511	2557	2798	0.320049	0.628564	2010
HOU	3976	7828	7829	8685	8506	110.948	108.647	2.30054	1394	1344	2723	2748	0.336552	0.669535	2010
IND	3956	7818	7814	8183	8271	104.669	105.848	-1.17976	1335	1404	2842	2815	0.321687	0.669336	2010
LAC	3971	7679	7667	8089	8346	105.339	108.856	-3.5169	1532	1372	2691	2614	0.369513	0.662318	2010
LAL	3966	7535	7531	8321	7820	110.431	103.837	6.59385	1388	1370	2808	2615	0.34674	0.672092	2010
MEM	3976	7607	7605	8195	8003	107.73	105.233	2.49632	1442	1351	2564	2579	0.358617	0.654917	2010
MIA	3956	7495	7503	8369	7757	111.661	103.385	8.27579	1208	1318	2869	2534	0.322822	0.685216	2010
MIL	3966	7427	7436	7534	7603	101.441	102.246	-0.805142	1294	1228	2651	2828	0.313925	0.683424	2010
MIN	3956	7985	7974	8288	8832	103.795	110.76	-6.96535	1534	1353	2743	2762	0.357076	0.669678	2010
NJN	4001	7502	7495	7722	8234	102.933	109.86	-6.92736	1332	1326	2651	2758	0.325672	0.666583	2010
NOH	3966	7343	7324	7784	7711	106.006	105.284	0.721722	1197	1141	2631	2638	0.312125	0.697508	2010
NYK	3956	7895	7904	8734	8670	110.627	109.691	0.935684	1197	1425	2643	2873	0.294103	0.649705	2010
OKC	4001	7763	7776	8596	8285	110.73	106.546	4.18461	1273	1369	2785	2620	0.326997	0.670438	2010
ORL	3966	7518	7514	8135	7687	108.207	102.302	5.9046	1389	1276	2856	2638	0.344922	0.691191	2010
PHI	3986	7642	7646	8119	7996	106.242	104.578	1.66426	1210	1245	2779	2796	0.302047	0.690606	2010
PHX	4001	7871	7881	8611	8684	109.402	110.189	-0.787462	1219	1424	2686	2809	0.302632	0.653528	2010
POR	3961	7297	7290	7896	7771	108.209	106.598	1.61077	1364	1281	2409	2556	0.347959	0.652846	2010
SAC	3971	7881	7875	8151	8589	103.426	109.067	-5.64071	1547	1312	2697	2741	0.360774	0.672736	2010
SAS	3956	7635	7649	8502	8034	111.356	105.033	6.32226	1218	1254	2796	2688	0.311828	0.69037	2010
TOR	3956	7672	7675	8124	8639	105.892	112.56	-6.66871	1360	1333	2552	2664	0.337972	0.656885	2010
UTA	3976	7581	7582	8153	8303	107.545	109.509	-1.96419	1329	1375	2547	2582	0.339811	0.649414	2010
